                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.5692,                 1.0771,                 1.7359,                 0.7719,                0.73699,                0.79326,                0.42328,                 1.6149,                0.96438,                 1.7393,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.5639,                  1.071,                 1.7391,                0.80065,                0.72547,                0.79506,                0.43064,                 1.6005,                0.96681,                 1.7245,               0.004654,               0.004654,               0.004654
                    110,                 1.5756,                 1.0792,                 1.7405,                0.76912,                0.73699,                0.78382,                0.42323,                 1.6089,                0.96969,                 1.7239,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.5541,                 1.0738,                 1.7158,                0.77496,                0.74711,                0.79017,                0.42142,                 1.6083,                 0.9777,                 1.7176,               0.004555,               0.004555,               0.004555
                    112,                 1.5588,                 1.0681,                  1.717,                0.77802,                0.71965,                0.79199,                0.41987,                 1.6527,                0.95882,                  1.732,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.5598,                 1.0707,                 1.7203,                0.77348,                0.72534,                0.79433,                0.42166,                 1.6291,                0.96068,                  1.718,               0.004456,               0.004456,               0.004456
                    114,                 1.5561,                 1.0679,                 1.7175,                  0.767,                0.74133,                0.79689,                0.41854,                 1.6329,                0.97031,                 1.7259,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.5663,                 1.0795,                 1.7287,                0.78075,                0.74101,                0.79461,                0.42274,                 1.6382,                0.95671,                 1.7277,               0.004357,               0.004357,               0.004357
                    116,                 1.5545,                 1.0726,                 1.7181,                0.76671,                0.74089,                0.79051,                0.42023,                 1.6393,                0.96017,                 1.7364,              0.0043075,              0.0043075,              0.0043075
                    117,                   1.55,                 1.0431,                 1.7227,                0.80217,                0.71532,                  0.795,                0.42615,                 1.6141,                0.96317,                 1.7332,               0.004258,               0.004258,               0.004258
                    118,                 1.5337,                 1.0678,                 1.7071,                 0.7747,                0.74038,                0.79346,                0.42203,                  1.632,                0.93495,                 1.7369,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.5463,                 1.0679,                   1.72,                0.79163,                0.73121,                0.79757,                 0.4294,                 1.6168,                0.93508,                 1.7129,               0.004159,               0.004159,               0.004159
                    120,                 1.5466,                 1.0542,                 1.7052,                0.78201,                0.74649,                0.80216,                0.43592,                 1.6125,                0.94412,                 1.7092,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.5448,                 1.0445,                 1.7061,                0.77062,                0.72977,                0.79361,                0.42137,                 1.6385,                  0.959,                 1.7266,                0.00406,                0.00406,                0.00406
                    122,                 1.5443,                 1.0609,                 1.7147,                 0.7826,                0.73351,                0.79681,                0.41886,                 1.6455,                0.95382,                  1.739,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.5369,                 1.0492,                 1.6972,                 0.8014,                0.71726,                0.79556,                0.42944,                 1.5978,                0.93835,                 1.6993,               0.003961,               0.003961,               0.003961
                    124,                 1.5456,                 1.0465,                 1.7067,                0.73997,                  0.769,                0.79627,                0.42084,                 1.6307,                0.93804,                 1.7228,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.5221,                 1.0537,                 1.6971,                0.78344,                0.72977,                0.79441,                0.42499,                 1.6444,                0.93304,                 1.7324,               0.003862,               0.003862,               0.003862
                    126,                  1.542,                 1.0623,                 1.7058,                0.78107,                0.74855,                0.79371,                0.42624,                 1.6193,                0.93107,                 1.7287,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.5366,                 1.0545,                 1.7097,                0.74646,                0.77007,                0.79749,                0.42625,                 1.6283,                0.93609,                 1.7294,               0.003763,               0.003763,               0.003763
                    128,                 1.5381,                  1.048,                 1.7062,                0.77976,                0.73266,                0.79965,                0.42839,                 1.6121,                0.95404,                 1.7045,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.5363,                 1.0457,                 1.6995,                0.75139,                0.75561,                0.79574,                 0.4199,                 1.6445,                0.93755,                 1.7293,               0.003664,               0.003664,               0.003664
                    130,                 1.5372,                 1.0511,                 1.7034,                 0.7947,                0.74133,                0.80089,                0.42329,                 1.6038,                0.96292,                 1.7167,              0.0036145,              0.0036145,              0.0036145
                    131,                  1.517,                 1.0401,                 1.6918,                0.78137,                0.73988,                0.79534,                0.42491,                 1.6034,                0.95888,                 1.7062,               0.003565,               0.003565,               0.003565
                    132,                  1.521,                 1.0497,                  1.693,                0.75305,                0.75794,                0.79328,                0.42414,                 1.6025,                0.94516,                 1.7093,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.5191,                 1.0332,                 1.6893,                0.74221,                0.76972,                0.79536,                0.42381,                 1.6188,                0.93837,                 1.7274,               0.003466,               0.003466,               0.003466
                    134,                  1.522,                 1.0389,                 1.6946,                0.74573,                0.76288,                 0.7947,                0.42531,                 1.6171,                0.93796,                 1.7124,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.5079,                 1.0193,                 1.6778,                0.76281,                0.73844,                0.78999,                0.42257,                 1.6298,                0.94324,                 1.7233,               0.003367,               0.003367,               0.003367
                    136,                 1.5078,                  1.026,                 1.6839,                0.75185,                0.77168,                0.79423,                0.42061,                  1.634,                0.94207,                 1.7276,              0.0033175,              0.0033175,              0.0033175
