                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.76698,                0.53263,                 1.1739,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0045055,              0.0045055,              0.0045055
                    113,                0.77266,                0.53971,                 1.1747,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                    114,                0.76411,                0.53952,                 1.1765,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0044065,              0.0044065,              0.0044065
                    115,                0.76894,                0.53112,                 1.1792,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004357,               0.004357,               0.004357
                    116,                0.75575,                0.52627,                 1.1627,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0043075,              0.0043075,              0.0043075
                    117,                0.76071,                 0.5225,                 1.1679,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                    118,                0.73913,                0.51383,                 1.1516,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0042085,              0.0042085,              0.0042085
                    119,                0.72842,                0.50359,                  1.141,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004159,               0.004159,               0.004159
                    120,                0.72438,                0.50623,                  1.132,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0041095,              0.0041095,              0.0041095
                    121,                0.72073,                0.49717,                 1.1363,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                    122,                0.71072,                0.49911,                 1.1245,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0040105,              0.0040105,              0.0040105
                    123,                0.70561,                  0.487,                 1.1234,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003961,               0.003961,               0.003961
                    124,                0.71237,                0.49035,                 1.1255,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0039115,              0.0039115,              0.0039115
                    125,                0.70949,                0.49996,                 1.1204,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                    126,                0.70574,                0.48928,                 1.1201,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0038125,              0.0038125,              0.0038125
                    127,                0.70005,                0.49006,                 1.1169,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003763,               0.003763,               0.003763
                    128,                0.68096,                 0.4729,                  1.103,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0037135,              0.0037135,              0.0037135
                    129,                0.69063,                0.47643,                 1.1058,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
                    130,                0.68152,                0.47181,                 1.1039,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0036145,              0.0036145,              0.0036145
                    131,                0.67065,                0.47083,                 1.0929,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                    132,                0.66467,                0.46022,                 1.0925,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0035155,              0.0035155,              0.0035155
                    133,                0.66492,                0.46697,                 1.0893,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                    134,                0.65051,                0.45537,                  1.082,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0034165,              0.0034165,              0.0034165
                    135,                0.65766,                0.45841,                 1.0811,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003367,               0.003367,               0.003367
                    136,                0.66957,                 0.4709,                 1.0961,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0033175,              0.0033175,              0.0033175
                    137,                0.64736,                0.45691,                 1.0756,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                    138,                0.65707,                0.45527,                 1.0871,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0032185,              0.0032185,              0.0032185
                    139,                0.64754,                0.44915,                 1.0757,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003169,               0.003169,               0.003169
                    140,                0.63274,                0.44986,                 1.0669,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0031195,              0.0031195,              0.0031195
                    141,                 0.6223,                0.44629,                 1.0664,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                    142,                0.62034,                0.43663,                 1.0572,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0030205,              0.0030205,              0.0030205
                    143,                0.63005,                0.44056,                 1.0675,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002971,               0.002971,               0.002971
                    144,                0.61606,                0.43312,                 1.0557,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0029215,              0.0029215,              0.0029215
                    145,                0.61983,                0.43726,                 1.0503,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                    146,                0.60886,                0.42694,                 1.0514,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0028225,              0.0028225,              0.0028225
                    147,                0.61547,                0.42969,                 1.0518,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002773,               0.002773,               0.002773
                    148,                 0.6143,                0.42568,                 1.0526,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0027235,              0.0027235,              0.0027235
                    149,                0.60012,                0.42495,                 1.0406,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002674,               0.002674,               0.002674
                    150,                0.58862,                0.41276,                  1.033,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0026245,              0.0026245,              0.0026245
                    151,                0.58535,                0.41633,                  1.031,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                    152,                0.58526,                0.41564,                 1.0297,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0025255,              0.0025255,              0.0025255
                    153,                0.58195,                0.40936,                 1.0266,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                    154,                0.57825,                0.40673,                 1.0241,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0024265,              0.0024265,              0.0024265
                    155,                0.57501,                0.40656,                 1.0258,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002377,               0.002377,               0.002377
                    156,                0.57343,                0.40407,                 1.0235,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0023275,              0.0023275,              0.0023275
                    157,                0.57637,                0.41233,                 1.0251,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
                    158,                0.56659,                0.39913,                 1.0186,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0022285,              0.0022285,              0.0022285
                    159,                  0.555,                0.39238,                 1.0133,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002179,               0.002179,               0.002179
                    160,                0.56505,                0.39884,                 1.0139,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0021295,              0.0021295,              0.0021295
                    161,                0.55644,                0.39056,                 1.0118,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                    162,                 0.5405,                0.38568,                0.99993,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0020305,              0.0020305,              0.0020305
                    163,                0.54439,                0.39484,                 1.0073,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001981,               0.001981,               0.001981
                    164,                0.54414,                0.38669,                 1.0052,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019315,              0.0019315,              0.0019315
                    165,                0.53564,                0.38078,                      1,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                    166,                  0.534,                0.37688,                 1.0022,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0018325,              0.0018325,              0.0018325
                    167,                0.53399,                0.37665,                0.99912,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001783,               0.001783,               0.001783
                    168,                0.53679,                 0.3847,                0.99949,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0017335,              0.0017335,              0.0017335
                    169,                0.53285,                0.37917,                0.99941,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                    170,                0.51783,                0.37109,                 0.9911,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0016345,              0.0016345,              0.0016345
                    171,                0.51777,                0.37238,                0.98814,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                    172,                0.51337,                0.36877,                0.98885,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015355,              0.0015355,              0.0015355
                    173,                0.50712,                0.36849,                0.98439,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001486,               0.001486,               0.001486
                    174,                0.51218,                0.36597,                 0.9882,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014365,              0.0014365,              0.0014365
                    175,                0.50949,                0.36895,                 0.9834,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001387,               0.001387,               0.001387
                    176,                0.49825,                0.36467,                0.97856,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013375,              0.0013375,              0.0013375
                    177,                0.50096,                0.35736,                0.98134,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                    178,                0.49531,                0.35975,                0.97837,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012385,              0.0012385,              0.0012385
                    179,                0.48221,                0.34922,                0.96896,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001189,               0.001189,               0.001189
                    180,                0.48944,                0.35459,                0.97101,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011395,              0.0011395,              0.0011395
